,ZipCode,Population,Number of Households,Median Income,Average Income
0,78610,"39,498","13,284","$84,114.00","$108,413.00"
1,78613,"83,876","27,558","$107,983.00","$125,381.00"
2,78615,"1,363",376,"$70,833.00","$98,823.00"
3,78617,"28,376","6,981","$64,117.00","$96,277.00"
4,78621,"24,590","7,183","$80,100.00","$85,730.00"
5,78641,"78,568","24,371","$105,096.00","$126,322.00"
6,78645,"11,873","4,851","$83,388.00","$116,422.00"
7,78652,"5,763","2,210","$88,243.00","$110,450.00"
8,78653,"29,622","8,981","$85,544.00","$89,841.00"
9,78654,"18,524","7,174","$57,087.00","$76,944.00"
10,78660,"101,937","33,953","$93,819.00","$104,978.00"
11,78664,"63,661","21,034","$77,679.00","$93,299.00"
12,78669,"14,038","5,185","$133,673.00","$166,082.00"
13,78701,"11,903","7,287","$127,782.00","$174,288.00"
14,78702,"25,393","10,513","$72,906.00","$93,784.00"
15,78703,"20,297","9,478","$108,065.00","$186,195.00"
16,78704,"51,422","26,471","$78,861.00","$118,781.00"
17,78705,"33,262","8,492","$23,509.00","$53,060.00"
18,78712,887,0,$0.00,$0.00
19,78719,"1,803",405,"$49,917.00","$65,064.00"
20,78721,"11,054","4,027","$55,359.00","$80,606.00"
21,78722,"6,713","3,145","$75,274.00","$97,305.00"
22,78723,"37,552","14,192","$72,764.00","$99,783.00"
23,78724,"25,328","6,619","$58,095.00","$70,092.00"
24,78725,"8,303","3,038","$74,205.00","$87,487.00"
25,78726,"13,304","5,604","$88,750.00","$123,671.00"
26,78727,"31,856","13,911","$83,603.00","$101,330.00"
27,78728,"21,857","10,429","$62,223.00","$78,449.00"
28,78730,"10,527","4,453","$113,614.00","$203,172.00"
29,78731,"27,664","13,412","$85,586.00","$141,835.00"
30,78732,"18,535","6,197","$175,118.00","$227,782.00"
31,78733,"8,711","2,839","$171,027.00","$241,690.00"
32,78734,"19,711","8,181","$114,709.00","$146,818.00"
33,78735,"18,211","7,862","$100,000.00","$154,050.00"
34,78736,"10,010","3,677","$97,184.00","$122,263.00"
35,78737,"20,609","6,280","$134,545.00","$162,987.00"
36,78738,"15,090","6,368","$117,371.00","$161,351.00"
37,78739,"20,631","6,788","$169,023.00","$191,001.00"
38,78741,"47,529","20,714","$52,048.00","$68,962.00"
39,78742,888,273,"$59,792.00","$58,328.00"
40,78744,"48,551","16,053","$62,905.00","$75,300.00"
41,78745,"63,287","27,994","$68,669.00","$85,209.00"
42,78746,"27,671","10,414","$151,488.00","$226,821.00"
43,78747,"20,137","6,657","$84,098.00","$95,805.00"
44,78748,"52,076","21,027","$88,688.00","$107,501.00"
45,78749,"38,503","15,836","$102,303.00","$121,722.00"
46,78750,"33,860","12,383","$100,489.00","$129,628.00"
47,78751,"16,138","8,446","$61,735.00","$88,340.00"
48,78752,"20,779","9,133","$49,214.00","$69,865.00"
49,78753,"60,035","21,602","$53,797.00","$69,922.00"
50,78754,"26,508","9,348","$77,377.00","$93,057.00"
51,78756,"9,450","4,414","$84,779.00","$117,297.00"
52,78757,"26,485","11,261","$77,560.00","$103,468.00"
53,78758,"50,575","21,851","$60,769.00","$72,663.00"
54,78759,"45,901","21,740","$87,080.00","$117,177.00"
